egoid,parentND_1,grandparentND_1,siblingND_1,uncleND_1,cousinND_1,otherrelativeND_1,momdec_1,momusa_1,daddec_1,dadusa_1,madaddec_1,madadusa_1,mamomdec_1,mamomusa_1,padaddec_1,padadusa_1,pamomdec_1,pamomusa_1,parentstatus_1,dadage_1,momage_1,yrdadborn_1,yrdaddec_1,yrmomborn_1,yrmomdec_1,numbros_1,numsis_1,numsib_1,adopted_1,birthorder_1,parentincome_1,momeduc_1,dadeduc_1,parenteduc_1,momrace_AmInd_1,momrace_Asian_1,momrace_Black_1,momrace_Latino_1,momrace_Haw_1,momrace_White_1,dadrace_AmInd_1,dadrace_Asian_1,dadrace_Black_1,dadrace_Latino_1,dadrace_Haw_1,dadrace_White_1,dad_multiracial_1,mom_multiracial_1,momrace_1,dadrace_1,parentrace_1,momrelig_1,dadrelig_1,yourelig_1,yourelig_7,yourelig_8
95585,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,Living together,49.0,52.0,,,,,1.0,2.0,3.0,No,second born,"$50,000 - $74,999",College/Univeristy degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Protestant,No Religion,Protestant,Protestant
29792,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,47.0,47.0,,,,,2.0,2.0,4.0,No,third born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
14737,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,Living together,51.0,49.0,,,,,1.0,0.0,1.0,No,second born,"$25,000 - $49,999",College/Univeristy degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
28223,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,51.0,47.0,,,,,1.0,0.0,1.0,No,second born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Protestant,Protestant,Protestant,No Religion,
85708,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,Living together,49.0,49.0,,,,,1.0,1.0,2.0,No,second born,"$100,000 - $149,999",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,No Religion,Catholic,,
55452,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Divorced or living apart,47.0,47.0,,,,,0.0,1.0,1.0,No,first born,"$100,000 - $149,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Other Religion,Protestant,,
20179,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,Divorced or living apart,58.0,46.0,,,,,1.0,1.0,2.0,No,third born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Catholic,Catholic,,
78339,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,56.0,55.0,,,,,0.0,1.0,1.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Other Religion,Catholic,,
23696,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,Divorced or living apart,54.0,48.0,,,,,3.0,1.0,4.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
28653,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,Living together,60.0,56.0,,,,,2.0,0.0,2.0,No,third born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Other Religion,Other Religion,Other Religion,Other Religion,Other Religion
84715,,,,,,,,,,,,,,,1.0,,1.0,,Living together,47.0,45.0,,,,,3.0,0.0,3.0,No,first born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Other Religion,Catholic,,
95559,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,Living together,49.0,49.0,,,,,4.0,2.0,6.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,1.0,,,,,,,,1.0,,,1.0,1.0,Asian-American,Latino,Parents different race,Catholic,Catholic,Catholic,Catholic,Catholic
30152,1.0,,,,,,,,,,1.0,1.0,,,,,,,Living together,50.0,54.0,,,,,1.0,0.0,1.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,No Religion,
68764,,,,,,,,,,,,,,,,,,1.0,Living together,45.0,43.0,,,,,1.0,0.0,1.0,No,first born,"$75,000 - $99,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,,
60367,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,Living together,58.0,56.0,,,,,1.0,0.0,1.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,1.0,,,,,,1.0,,,,1.0,1.0,Black,Black,Both parents same race,Protestant,Protestant,Protestant,Protestant,Protestant
36939,,,,,,,,,,,1.0,,,,,,,,Living together,49.0,46.0,,,,,1.0,0.0,1.0,No,first born,"$75,000 - $99,999",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Protestant,Catholic,,
59592,,,,,,,,,,,1.0,,1.0,,,,,,Divorced or living apart,51.0,47.0,,,,,1.0,0.0,1.0,No,first born,"$100,000 - $149,999",Postsecondary school  or some college,High school graduate,Both no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
22897,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,Living together,47.0,47.0,,,,,1.0,2.0,3.0,No,second born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,Catholic,No Religion
89652,,,,,,,,,,,,,,,,,1.0,,Living together,49.0,47.0,,,,,1.0,0.0,1.0,Yes,first born,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
28724,,,,,,,,,,,,,,,,,,,Living together,46.0,46.0,,,,,0.0,2.0,2.0,No,second born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
92895,,,,,1.0,,,,,1.0,1.0,,,,,,,,Living together,53.0,53.0,,,,,3.0,1.0,4.0,No,third born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
69831,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,48.0,49.0,,,,,0.0,2.0,2.0,No,third born,"$200,000 - $249,999",College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Catholic,Catholic,,
59178,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,60.0,52.0,,,,,0.0,1.0,1.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
50072,,,,1.0,,,,,,,,,,,1.0,,1.0,,Living together,66.0,51.0,,,,,2.0,2.0,4.0,No,third born,"$50,000 - $74,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
44927,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,Living together,48.0,48.0,,,,,1.0,1.0,2.0,No,first born,"$100,000 - $149,999",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Protestant,Protestant,Protestant,Protestant,Protestant
71894,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,50.0,45.0,,,,,0.0,1.0,1.0,No,second born,"$25,000 - $49,999",College/Univeristy degree,College/Univeristy degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Protestant,Protestant,Protestant,Protestant,
76790,,,1.0,,,,,,,,1.0,,,,,,,,Living together,45.0,46.0,,,,,2.0,3.0,5.0,No,second born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
78428,,,1.0,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,Living together,53.0,52.0,,,,,1.0,1.0,2.0,No,second born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
66676,,,,,,1.0,,,,,,,,,,,,,Living together,53.0,49.0,,,,,1.0,1.0,2.0,No,first born,,College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
95930,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,Living together,45.0,45.0,,,,,1.0,2.0,3.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
70962,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,Living together,48.0,48.0,,,,,1.0,1.0,2.0,No,second born,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,1.0,,,,1.0,,,,,,1.0,1.0,2.0,multiracial,White,1 or both parents multi-racial,Other Religion,Catholic,Catholic,No Religion,No Religion
12738,,,,,1.0,,,,,,1.0,,,,,,,,Living together,43.0,50.0,,,,,1.0,1.0,2.0,No,first born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Other Religion,,
29647,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,Living together,46.0,47.0,,,,,1.0,2.0,3.0,No,first born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
27111,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,57.0,53.0,,,,,2.0,0.0,2.0,No,third born,"$75,000 - $99,999",High school graduate,High school graduate,Both no college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Protestant,Protestant,Protestant,,
30453,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Divorced or living apart,59.0,49.0,,,,,1.0,1.0,2.0,No,second born,"$25,000 - $49,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,1.0,,,,,,1.0,,,,1.0,1.0,Black,Black,Both parents same race,Other Religion,Other Religion,Other Religion,Catholic,Catholic
58219,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,Living together,64.0,60.0,,,,,0.0,1.0,1.0,Yes,first born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Protestant,Catholic,,Catholic
28377,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,50.0,50.0,,,,,0.0,1.0,1.0,No,second born,"$150,000 - $199,999",College/Univeristy degree,College/Univeristy degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Protestant,Protestant,Protestant,,
80177,,,,,,,,,,,,,,,,,,,Living together,47.0,46.0,,,,,1.0,0.0,1.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,1.0,,1.0,2.0,1.0,White,multiracial,1 or both parents multi-racial,Catholic,Catholic,Catholic,,No Religion
18677,1.0,,,1.0,,,,,,,,,,,,,1.0,,Living together,48.0,48.0,,,,,0.0,3.0,3.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
66047,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,58.0,47.0,,,,,0.0,2.0,2.0,No,second born,"$25,000 - $49,999",High school graduate,Postsecondary school  or some college,Both no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,,
58682,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,Living together,50.0,52.0,,,,,2.0,1.0,3.0,No,third born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
81199,,,,,,,,,,,,,,,,,,,Living together,51.0,49.0,,,,,0.0,1.0,1.0,No,second born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,No Religion,No Religion,,
85679,,1.0,,,,,,,,,,,,,,,,,Living together,53.0,53.0,,,,,0.0,2.0,2.0,No,third born,"$50,000 - $74,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
79834,,,,,,,,,,,1.0,,,,,,,,Living together,49.0,47.0,,,,,1.0,0.0,1.0,No,first born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
93471,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,Living together,57.0,55.0,,,,,1.0,1.0,2.0,No,third born,"$150,000 - $199,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
19538,,,,,,,,,,,,,,,,,,,Divorced or living apart,46.0,45.0,,,,,2.0,1.0,3.0,No,first born,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,No Religion,Catholic,,
14595,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,Living together,46.0,47.0,,,,,1.0,0.0,1.0,No,first born,"$50,000 - $74,999",Postsecondary school  or some college,Postsecondary school  or some college,Both no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,No Religion,,
38052,,,,,,,,,,,,1.0,,1.0,,,,,Living together,53.0,52.0,,,,,1.0,1.0,2.0,No,second born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,1.0,,,,,,,,,,1.0,1.0,1.0,Asian-American,White,Parents different race,Protestant,Protestant,Protestant,Protestant,Protestant
33133,1.0,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,Living together,48.0,48.0,,,,,1.0,2.0,3.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
40021,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,Living together,52.0,51.0,,,,,1.0,1.0,2.0,No,first born,"$150,000 - $199,999",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
27141,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,Living together,57.0,55.0,,,,,1.0,1.0,2.0,No,third born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
93858,,,,,,,,,,,,1.0,,1.0,,1.0,,,Living together,47.0,47.0,,,,,0.0,1.0,1.0,No,first born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,1.0,,,1.0,1.0,White,Latino,Parents different race,Catholic,Catholic,Catholic,,
47810,1.0,,,,,,,,,,,,1.0,,,,1.0,,Living together,50.0,48.0,,,,,0.0,4.0,4.0,No,second born,"$75,000 - $99,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
58196,,,,,,,,,,,,,,,,,,,Living together,52.0,51.0,,,,,0.0,2.0,2.0,No,first born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
42773,,,,,,,,,,,,,,,,1.0,,1.0,Divorced or living apart,75.0,53.0,,,,,3.0,3.0,6.0,No,third born,"$100,000 - $149,999",Postsecondary school  or some college,Did not graduate from high school,Both no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
72152,1.0,,,,,,,,,,1.0,,1.0,,,,,,Living together,50.0,50.0,,,,,0.0,2.0,2.0,No,first born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
76663,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Living together,50.0,47.0,,,,,4.0,2.0,6.0,No,third born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
48224,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,Living together,52.0,50.0,,,,,1.0,1.0,2.0,No,first born,,College/Univeristy degree,College/Univeristy degree,both parent college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,,Catholic
30137,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,55.0,52.0,,,,,1.0,1.0,2.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,1.0,,1.0,2.0,1.0,White,multiracial,1 or both parents multi-racial,Catholic,Catholic,Catholic,Catholic,
68318,,,,,,1.0,,,,,,,,,,,1.0,,Living together,53.0,50.0,,,,,1.0,1.0,2.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
62246,,,,,,,,,,,1.0,,,,,,1.0,,Living together,52.0,48.0,,,,,2.0,0.0,2.0,No,third born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
69496,1.0,,,,,,,,,,,,,,,,,,Divorced or living apart,74.0,51.0,,,,,1.0,1.0,2.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Catholic,Other Religion,,
61028,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,Living together,54.0,54.0,,,,,1.0,1.0,2.0,No,third born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
55424,,1.0,,,,,,,,,1.0,,,,,,,,Living together,49.0,48.0,,,,,2.0,2.0,4.0,No,third born,"$150,000 - $199,999",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
17581,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,Living together,51.0,49.0,,,,,2.0,0.0,2.0,No,first born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,No Religion,Catholic,,
23576,1.0,,,,,,,,,,,1.0,,1.0,,,,,Divorced or living apart,53.0,53.0,,,,,1.0,3.0,4.0,No,second born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,,,,,1.0,1.0,1.0,Asian-American,White,Parents different race,Catholic,Catholic,Catholic,Catholic,
57842,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,Living together,52.0,51.0,,,,,1.0,1.0,2.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,Catholic
17522,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,62.0,52.0,,,,,0.0,1.0,1.0,No,second born,"$50,000 - $74,999",High school graduate,Did not graduate from high school,Both no college,,,1.0,,,,,,1.0,,,,1.0,1.0,Black,Black,Both parents same race,Protestant,Protestant,Protestant,Protestant,Protestant
55685,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,Living together,51.0,52.0,,,,,2.0,3.0,5.0,No,fiifth born,,Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
74079,,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,Living together,63.0,53.0,,,,,0.0,1.0,1.0,No,first born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
97833,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,Living together,53.0,53.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
11992,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,49.0,1965.0,2005.0,,,0.0,0.0,0.0,No,only child,"less than $25,000",Postsecondary school  or some college,Postsecondary school  or some college,Both no college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Other Religion,Other Religion,No Religion,,
93485,1.0,,,,,,,,,,,,,,,,1.0,,Living together,52.0,49.0,,,,,0.0,2.0,2.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
34402,,,,,,,,,,,1.0,,,,,,,,Living together,56.0,55.0,,,,,0.0,1.0,1.0,No,second born,"$250,000 or more",Postsecondary school  or some college,College/Univeristy degree,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Other Religion,Catholic,,
62617,,,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,Living together,52.0,50.0,,,,,0.0,1.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
42137,,,,,,,,,,,,,,,1.0,,,,Living together,50.0,52.0,,,,,3.0,2.0,5.0,No,third born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
37305,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Living together,59.0,57.0,,,,,1.0,1.0,2.0,No,third born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Other Religion,Catholic,,
48013,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,Living together,60.0,56.0,,,,,2.0,0.0,2.0,No,third born,"$200,000 - $249,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,No Religion,No Religion
44447,,,,,,,,,,,,,,,,1.0,,,Living together,50.0,47.0,,,,,1.0,1.0,2.0,No,second born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,1.0,,,,1.0,2.0,1.0,White,multiracial,1 or both parents multi-racial,Catholic,Protestant,Catholic,,
14571,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,54.0,54.0,,,,,0.0,1.0,1.0,No,second born,"$50,000 - $74,999",College/Univeristy degree,College/Univeristy degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Catholic,Catholic,No Religion,No Religion
69057,,,,,,,,,,,1.0,,,,,,1.0,,Living together,48.0,47.0,,,,,1.0,2.0,3.0,No,first born,"$150,000 - $199,999",Graduate or professional degree,College/Univeristy degree,both parent college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
49125,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,Living together,52.0,52.0,,,,,3.0,0.0,3.0,No,third born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,,Catholic
66629,1.0,,,1.0,,,,,,,1.0,,,,,,,,Living together,52.0,51.0,,,,,0.0,5.0,5.0,No,first born,"$200,000 - $249,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
