egoid,Extraversion_1,Agreeableness_1,Conscientiousness_1,Neuroticism_1,Openness_1,Extraversion_2,Agreeableness_2,Conscientiousness_2,Neuroticism_2,Openness_2,Extraversion_6,Agreeableness_6,Conscientiousness_6,Neuroticism_6,Openness_6,Extraversion_8,Agreeableness_8,Conscientiousness_8,Neuroticism_8,Openness_8
27111,3.25,4.1111112,3.8888888,2.75,3.2,,,,,,,,,,,,,,,
30453,3.0,4.6666665,4.6666665,3.5,3.2,2.875,3.7777777,3.7777777,2.875,3.0,3.0,3.1111112,3.0,3.0,3.1111112,3.0,3.0,3.0,3.0,3.0
58219,2.875,4.8888888,3.1111112,3.75,4.0,,,,,,,,,,,2.0,4.4444447,3.1111112,4.875,4.6666665
28377,2.0,3.0,2.3333333,4.25,2.3,,,,,,,,,,,,,,,
80177,3.625,4.0,3.4444444,2.375,4.1999998,3.5,4.6666665,3.6666667,1.75,4.5555553,,,,,,4.125,3.4444444,3.3333333,2.375,4.7777777
18677,3.75,4.5555553,4.1111112,2.125,2.7,,,,,,3.125,3.7777777,3.8888888,3.375,2.8888888,,,,,
66047,3.25,2.7777777,4.0,3.625,2.2,2.75,3.0,3.2222223,4.0,2.5555556,,,,,,,,,,
58682,2.625,3.7777777,3.4444444,3.75,3.3,,,,,,2.375,3.7777777,4.0,3.25,3.0,2.125,3.2222223,4.1111112,3.25,2.4444444
81199,3.375,2.4444444,4.1111112,3.5,4.3000002,,,,,,,,,,,,,,,
85679,2.75,2.6666667,3.2222223,3.5,3.3,,,,,,,,,,,,,,,
79834,2.75,4.5555553,4.5555553,3.25,3.2,3.25,4.3333335,4.2222223,2.375,3.6666667,2.375,3.0,4.1111112,2.625,4.0,2.25,2.8888888,3.3333333,2.75,4.1111112
93471,3.625,4.2222223,3.6666667,2.75,2.8,,,,,,3.375,4.5555553,4.2222223,2.75,3.7777777,,,,,
19538,3.0,3.6666667,4.1111112,3.125,2.5999999,2.875,3.7777777,4.0,3.125,2.8888888,,,,,,,,,,
14595,3.375,3.2222223,3.3333333,3.75,2.9000001,,,,,,,,,,,,,,,
38052,4.25,3.3333333,4.1111112,2.875,3.3,,,,,,4.625,4.2222223,4.6666665,2.125,3.7777777,4.75,4.2222223,5.0,1.375,4.5555553
33133,3.375,3.6666667,4.5555553,2.875,3.9000001,3.75,4.1111112,3.8888888,2.75,4.5555553,,,,,,,,,,
40021,3.625,3.7777777,3.4444444,2.875,2.8,,,,,,,,,,,,,,,
27141,4.0,3.7777777,3.4444444,2.75,2.2,3.875,4.1111112,3.0,2.875,2.7777777,,,,,,,,,,
93858,3.125,3.4444444,4.4444447,2.125,2.5999999,3.5,3.6666667,3.5555556,2.25,2.6666667,,,,,,,,,,
47810,3.875,4.3333335,3.1111112,2.375,3.3,3.625,4.2222223,3.8888888,2.25,3.2222223,4.0,3.8888888,3.4444444,2.125,3.3333333,,,,,
58196,3.875,4.5555553,4.6666665,2.75,3.7,3.75,3.8888888,4.4444447,2.875,4.0,4.125,4.6666665,4.8888888,2.75,4.0,,,,,
42773,2.5,2.8888888,2.5555556,3.0,1.8,2.375,2.6666667,2.3333333,3.75,2.5555556,,,,,,,,,,
72152,4.375,3.6666667,3.1111112,3.625,3.3,,,,,,,,,,,,,,,
76663,3.125,3.8888888,3.7777777,2.0,3.5999999,,,,,,,,,,,,,,,
48224,2.625,3.3333333,3.0,3.75,3.5,3.0,3.0,3.2222223,4.5,4.3333335,3.25,3.0,2.5555556,4.0,3.8888888,3.0,3.2222223,2.8888888,3.625,3.8888888
30137,2.5,3.4444444,4.1111112,3.125,2.0999999,,,,,,3.625,3.2222223,3.7777777,2.625,2.3333333,,,,,
68318,4.5,4.0,4.3333335,2.625,3.3,,,,,,4.625,3.6666667,4.1111112,2.625,3.8888888,4.75,4.2222223,4.6666665,2.25,4.2222223
62246,2.125,4.1111112,3.8888888,1.625,2.5999999,2.625,4.0,3.8888888,2.25,2.5555556,2.75,4.3333335,3.7777777,1.875,2.8888888,3.125,3.5555556,3.7777777,1.875,2.5555556
69496,2.375,3.3333333,4.4444447,3.75,3.3,,,,,,,,,,,,,,,
61028,3.5,4.3333335,4.0,2.5,2.3,,,,,,3.25,4.5555553,3.7777777,3.0,2.7777777,,,,,
55424,2.125,3.5555556,4.3333335,3.125,2.2,2.125,3.5555556,3.4444444,3.375,2.4444444,1.375,3.1111112,3.3333333,4.125,2.1111112,,,,,
17581,3.25,3.5555556,4.0,4.125,3.9000001,,,,,,,,,,,,,,,
23576,2.5,4.1111112,3.8888888,1.875,2.7,3.0,3.8888888,4.2222223,2.0,2.6666667,3.125,3.6666667,3.8888888,2.25,3.2222223,,,,,
57842,3.375,4.0,3.6666667,2.625,2.7,,,,,,,,,,,3.625,4.0,3.8888888,2.5,2.7777777
17522,3.625,3.5555556,4.2222223,3.0,3.3,,,,,,,,,,,3.5,4.1111112,4.4444447,2.375,3.4444444
55685,4.0,4.4444447,4.4444447,2.375,3.3,,,,,,,,,,,,,,,
74079,4.5,3.1111112,3.5555556,3.25,4.0999999,,,,,,,,,,,,,,,
97833,3.125,3.7777777,3.7777777,1.75,3.0,3.0,3.5555556,3.0,2.125,3.2222223,,,,,,,,,,
11992,4.125,2.3333333,2.1111112,4.5,2.7,,,,,,,,,,,,,,,
93485,4.125,4.5555553,4.4444447,1.5,3.5999999,4.0,4.6666665,4.3333335,1.25,3.2222223,4.375,4.5555553,4.3333335,1.875,4.1111112,,,,,
34402,3.0,3.2222223,3.7777777,3.875,2.5999999,3.125,2.6666667,3.3333333,3.625,2.7777777,,,,,,,,,,
62617,4.25,4.0,3.7777777,2.125,3.0,4.375,4.6666665,4.0,2.125,3.4444444,4.625,4.5555553,4.5555553,1.875,3.1111112,4.375,4.5555553,4.6666665,3.5,3.6666667
42137,2.375,4.2222223,2.8888888,3.0,3.7,2.75,4.0,3.5555556,2.25,4.1111112,2.875,3.8888888,3.6666667,2.5,3.7777777,,,,,
37305,4.5,3.6666667,3.3333333,2.75,3.0999999,4.875,3.5555556,2.8888888,2.625,3.7777777,4.5,3.8888888,2.7777777,3.5,4.1111112,,,,,
48013,2.375,3.3333333,3.3333333,2.75,3.5999999,2.125,3.0,2.7777777,3.75,3.4444444,,,,,,2.125,3.4444444,2.6666667,2.625,4.0
44447,3.375,2.6666667,3.2222223,3.5,3.0,,,,,,,,,,,,,,,
14571,3.0,2.4444444,3.4444444,1.875,2.4000001,2.75,1.6666666,3.3333333,2.375,2.3333333,,,,,,2.75,2.6666667,3.1111112,2.75,2.5555556
69057,2.25,3.1111112,3.2222223,3.375,2.5999999,2.0,3.4444444,2.7777777,3.75,3.0,2.0,3.1111112,2.6666667,3.75,3.0,2.375,3.2222223,2.5555556,3.0,2.5555556
49125,2.0,4.4444447,3.3333333,3.375,3.4000001,,,,,,,,,,,2.25,4.0,3.3333333,3.0,3.5555556
66629,2.375,4.6666665,3.6666667,2.625,3.4000001,3.0,4.1428571,3.8333333,2.5999999,4.3333335,,,,,,,,,,
83542,3.25,4.0,3.7777777,3.5,2.9000001,3.375,3.4444444,3.7777777,3.125,3.6666667,2.75,4.2222223,3.5555556,2.75,3.2222223,3.0,3.4444444,3.2222223,2.75,3.1111112
18222,2.5,3.6666667,3.3333333,2.375,2.9000001,,,,,,2.75,3.0,3.3333333,2.125,3.3333333,,,,,
39738,3.625,4.0,4.3333335,2.875,3.0999999,3.5,4.1111112,4.1111112,3.25,3.7777777,,,,,,,,,,
26858,3.625,3.3333333,4.3333335,4.125,3.5,4.125,3.1111112,3.0,4.625,3.2222223,2.875,3.0,4.3333335,5.0,3.6666667,2.625,3.3333333,4.0,4.0,3.3333333
70552,2.375,4.5555553,3.2222223,1.875,3.3,,,,,,,,,,,,,,,
38826,3.75,4.1111112,3.3333333,3.0,2.8,,,,,,3.75,4.0,3.6666667,2.5,2.8888888,,,,,
93504,3.625,3.8888888,2.8888888,3.875,3.5999999,,,,,,4.0,4.1111112,3.1111112,3.5,4.2222223,3.5,3.5555556,3.1111112,3.5,3.7777777
64232,3.875,4.3333335,4.3333335,3.875,3.0,3.875,4.4444447,4.2222223,3.75,2.6666667,4.125,4.3333335,3.6666667,3.25,3.2222223,3.875,4.3333335,3.3333333,2.75,2.8888888
37404,2.25,3.4444444,3.6666667,3.75,2.8,2.125,3.4444444,3.5555556,3.25,3.0,2.125,3.3333333,3.6666667,2.625,3.4444444,2.0,3.1111112,3.2222223,3.125,2.6666667
25961,3.375,3.7777777,3.1111112,3.125,3.5999999,,,,,,,,,,,,,,,
87330,3.0,3.1111112,2.8888888,4.125,2.3,,,,,,,,,,,,,,,
92028,3.375,2.3333333,3.0,4.5,3.5,3.125,2.4444444,2.8888888,4.5,3.6666667,,,,,,,,,,
82248,3.25,4.2222223,3.6666667,3.0,3.2,,,,,,3.0,4.3333335,3.6666667,3.25,3.3333333,3.0,4.1111112,3.7777777,2.625,3.6666667
28824,2.375,4.1111112,3.8888888,2.625,3.3,,,,,,,,,,,,,,,
11482,2.875,3.6666667,3.8888888,3.375,3.0,2.375,3.2222223,3.3333333,3.75,3.1111112,,,,,,,,,,
69936,2.625,3.5555556,2.7777777,3.0,2.9000001,2.25,3.2222223,2.4444444,2.875,2.8888888,2.0,2.7777777,2.3333333,3.625,2.7777777,,,,,
91320,3.0,3.4444444,3.0,2.0,3.2,,,,,,,,,,,,,,,
37001,3.625,4.1111112,4.0,2.5,2.7,,,,,,4.0,4.5555553,3.8888888,2.0,3.4444444,,,,,
70492,4.5,4.8888888,4.0,2.375,3.5,4.625,4.6666665,3.5555556,2.375,3.6666667,4.0,4.4444447,3.4444444,2.875,3.1111112,4.25,4.6666665,3.3333333,3.375,3.2222223
95543,2.875,4.6666665,3.2222223,1.75,3.4000001,2.875,4.3333335,3.3333333,2.0,4.0,2.5,4.6666665,3.1111112,2.25,3.8888888,2.875,4.0,3.2222223,2.0,3.4444444
21380,3.625,3.7777777,3.8888888,2.25,2.2,,,,,,3.75,4.0,4.2222223,2.375,2.6666667,2.75,3.7777777,3.5555556,3.375,1.8888888
67106,2.75,4.1111112,4.3333335,2.375,3.7,2.125,4.3333335,4.6666665,2.125,3.6666667,,,,,,,,,,
25495,2.25,2.7777777,4.2222223,2.625,2.8,2.0,3.4444444,4.0,2.875,2.7777777,,,,,,2.375,3.3333333,3.8888888,2.875,3.8888888
26581,4.375,4.1111112,3.8888888,2.25,3.4000001,3.875,3.7777777,3.6666667,2.375,4.1111112,,,,,,,,,,
66642,2.5,4.0,3.3333333,2.875,3.9000001,2.375,4.4444447,3.4444444,2.375,4.5555553,2.375,3.7777777,2.8888888,3.0,4.0,,,,,
83612,2.375,3.7777777,3.4444444,3.625,2.7,2.625,3.5555556,3.3333333,4.125,3.0,2.75,3.3333333,3.5555556,3.875,3.1111112,2.625,3.6666667,3.5555556,3.375,2.6666667
63954,2.375,4.1111112,3.6666667,3.0,3.4000001,,,,,,,,,,,,,,,
20665,3.0,4.1111112,3.4444444,2.375,3.5,3.375,4.0,3.4444444,2.0,3.6666667,,,,,,,,,,
19122,2.625,3.1111112,2.8888888,2.25,3.7,2.5,3.0,2.8888888,3.125,4.0,1.875,3.4444444,3.0,3.125,4.0,,,,,
99978,3.5,3.7777777,4.0,2.0,3.4000001,4.625,4.0,3.4444444,1.5,3.8888888,,,,,,3.625,4.0,3.4444444,2.625,3.3333333
92566,4.75,4.2222223,4.5555553,1.875,4.5,4.875,4.7777777,4.5555553,1.5,4.8888888,4.875,4.3333335,4.5555553,1.875,4.8888888,4.5,4.6666665,4.6666665,1.5,4.8888888
39414,2.25,3.4444444,3.7777777,3.0,3.0999999,1.75,3.2222223,4.1111112,3.5,3.1111112,,,,,,,,,,
35987,3.125,3.4444444,3.6666667,3.125,2.7,2.875,3.1111112,3.3333333,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
66655,3.5,4.2222223,4.2222223,2.875,3.5,3.125,3.7777777,4.1111112,3.25,3.4444444,,,,,,,,,,
10547,3.75,3.3333333,3.3333333,3.0,3.0,3.125,3.1111112,3.1111112,2.875,3.0,,,,,,,,,,
46373,4.125,3.8888888,3.8888888,2.25,2.5999999,3.625,3.7777777,3.7777777,2.25,2.8888888,4.0,3.6666667,3.2222223,3.0,3.4444444,,,,,
79341,2.25,3.4444444,3.0,2.375,2.9000001,3.25,3.3333333,3.4444444,2.625,3.3333333,2.625,3.5555556,3.7777777,2.5,3.1111112,,,,,
19591,4.25,3.7777777,4.1111112,1.75,3.4000001,,,,,,3.625,3.2222223,3.3333333,3.125,3.0,,,,,
83536,3.5,4.1111112,4.2222223,2.375,3.5,3.75,4.1111112,4.1111112,1.875,3.7777777,,,,,,,,,,
66682,4.25,4.2222223,3.4444444,1.875,3.4000001,4.0,4.1111112,3.5555556,1.5,3.8888888,,,,,,,,,,
88337,3.875,3.6666667,3.5555556,2.125,2.5,3.875,3.6666667,3.2222223,2.0,2.6666667,,,,,,,,,,
67608,2.625,4.1111112,4.2222223,2.25,3.3,2.25,4.4444447,3.8888888,1.875,3.6666667,3.0,4.3333335,4.1111112,2.25,3.5555556,2.25,4.5555553,4.1111112,1.5,4.1111112
19735,3.375,4.4444447,4.1111112,1.875,4.0,3.125,4.3333335,3.6666667,2.75,4.3333335,,,,,,,,,,
42513,4.75,3.8888888,2.6666667,2.0,3.7,,,,,,,,,,,,,,,
64595,3.5,4.0,3.7777777,2.75,3.3,,,,,,,,,,,,,,,
85134,3.625,4.7777777,4.8888888,1.75,3.5999999,,,,,,,,,,,,,,,
51952,2.375,2.5555556,4.1111112,3.125,2.4000001,,,,,,,,,,,,,,,
28837,3.625,3.3333333,3.3333333,3.375,3.3,,,,,,,,,,,,,,,
46266,2.0,3.3333333,3.4444444,3.375,3.5,2.0,3.5555556,3.0,3.625,3.7777777,,,,,,,,,,
61289,4.125,4.4444447,3.8888888,3.0,3.9000001,,,,,,,,,,,,,,,
18743,2.875,3.8888888,3.3333333,2.5,3.0,2.375,3.6666667,3.4444444,2.75,3.3333333,,,,,,,,,,
13647,2.5,2.8888888,2.4444444,3.125,3.0999999,,,,,,,,,,,2.625,2.8888888,2.1111112,3.0,3.4444444
59207,3.125,4.0,3.8888888,2.75,3.8,3.0,3.5555556,4.0,2.125,4.1111112,3.375,4.1111112,3.7777777,1.625,4.1111112,3.25,3.4444444,4.0,1.875,4.2222223
48946,3.625,4.1111112,3.8888888,2.375,3.7,3.375,4.4444447,3.4444444,2.875,4.2222223,,,,,,,,,,
86083,3.625,3.6666667,3.3333333,2.75,2.8,,,,,,2.875,3.1111112,3.3333333,3.625,3.7777777,,,,,
96613,4.125,3.7777777,4.0,2.25,2.5999999,3.375,4.1111112,3.8888888,2.25,3.1111112,,,,,,,,,,
49014,3.5,3.1111112,3.0,3.125,3.0,,,,,,3.0,2.8888888,2.8888888,2.625,3.8888888,,,,,
50766,2.0,3.4444444,3.6666667,2.375,2.8,1.875,3.1111112,3.7777777,2.25,2.8888888,2.5,3.4444444,3.5555556,2.75,2.5555556,,,,,
71089,2.875,2.2222223,3.1111112,2.875,3.0999999,2.125,4.2222223,3.8888888,3.75,4.1111112,1.5,4.0,4.1111112,3.0,3.5555556,2.125,4.2222223,3.7777777,3.0,3.6666667
80980,3.625,3.8888888,4.1111112,2.375,3.3,3.75,3.8888888,4.0,2.5,3.0,3.5,4.2222223,4.4444447,2.0,3.4444444,,,,,
29115,3.0,3.6666667,3.6666667,3.25,2.2,,,,,,,,,,,,,,,
98462,3.875,4.4444447,4.2222223,2.625,2.5999999,3.625,4.4444447,4.4444447,2.875,3.0,3.375,4.4444447,4.3333335,2.0,2.6666667,3.875,4.4444447,4.7777777,2.0,2.6666667
94455,3.25,3.2222223,3.7777777,2.625,2.8,,,,,,,,,,,,,,,
11148,3.5,4.1111112,3.8888888,2.625,3.4000001,3.0,4.1111112,3.8888888,2.5,3.6666667,,,,,,,,,,
88384,4.125,3.6666667,3.2222223,3.125,2.5999999,4.125,3.1111112,2.1111112,4.25,3.1111112,,,,,,,,,,
60904,3.625,4.0,3.8888888,2.25,3.2,,,,,,,,,,,,,,,
64302,2.875,2.6666667,4.1111112,3.25,3.9000001,2.25,2.0,4.2222223,4.125,4.3333335,2.625,2.0,3.7777777,3.625,4.4444447,3.0,3.0,3.0,3.0,3.0
51882,3.625,4.0,2.4444444,4.0,3.5,,,,,,,,,,,,,,,
54200,3.75,3.1111112,2.6666667,2.125,2.8,,,,,,,,,,,,,,,
22688,2.75,4.2222223,4.1111112,2.0,3.5999999,2.75,4.0,4.5555553,1.75,3.8888888,2.625,4.1111112,4.4444447,2.375,4.3333335,,,,,
38815,2.5,3.2222223,3.3333333,3.625,3.0999999,2.625,3.2222223,3.4444444,2.75,3.1111112,2.625,3.3333333,3.4444444,2.625,2.7777777,,,,,
34525,3.75,3.4444444,3.3333333,3.25,3.8,3.5,3.3333333,3.4444444,3.375,4.1111112,3.5,4.0,4.0,3.625,4.1111112,,,,,
68404,4.625,4.3333335,3.4444444,2.625,2.9000001,,,,,,4.375,4.2222223,3.5555556,2.875,3.4444444,,,,,
71836,4.625,4.1111112,4.0,2.25,3.5,4.625,4.3333335,4.4444447,2.375,4.5555553,,,,,,,,,,
12748,2.75,3.8888888,4.5555553,2.5,3.0,,,,,,,,,,,,,,,
33445,3.625,4.2222223,3.5555556,2.875,3.4000001,,,,,,,,,,,,,,,
83078,3.25,4.3333335,2.6666667,3.625,3.2,3.0,3.8888888,2.3333333,4.125,3.5555556,,,,,,,,,,
72160,3.75,3.3333333,3.7777777,2.375,3.0,,,,,,,,,,,,,,,
55569,3.125,4.4444447,3.1111112,3.625,2.3,,,,,,3.75,4.1111112,3.1111112,2.625,3.5555556,,,,,
72885,2.625,3.7777777,2.8888888,2.75,3.4000001,2.625,3.0,3.2222223,3.25,3.4444444,2.0,3.6666667,2.4444444,4.25,3.6666667,2.0,3.4444444,3.0,3.625,3.6666667
47006,3.75,3.4444444,3.0,3.75,4.0,3.625,3.1111112,2.8888888,3.375,4.0,,,,,,,,,,
36574,4.0,3.8888888,3.5555556,2.25,2.5,3.875,3.5555556,3.3333333,2.625,3.1111112,4.0,3.2222223,3.7777777,2.5,2.1111112,,,,,
71193,2.75,3.0,3.2222223,2.875,3.4000001,1.75,2.3333333,3.2222223,3.875,3.0,2.75,3.2222223,3.1111112,2.75,3.3333333,3.375,3.7777777,3.4444444,2.75,3.7777777
44070,3.75,4.5555553,2.5555556,2.375,3.9000001,,,,,,3.625,4.4444447,3.375,2.25,4.3333335,,,,,
49010,4.125,4.0,3.7777777,2.5,3.5,3.75,3.8888888,4.0,2.5,3.8888888,3.875,3.8888888,3.1111112,2.875,3.7777777,,,,,
98760,2.375,3.3333333,3.8888888,2.625,3.7,2.25,3.5555556,3.6666667,2.75,3.7777777,,,,,,,,,,
95374,4.25,3.5555556,3.4444444,3.375,3.4000001,4.0,4.1111112,2.6666667,3.0,3.4444444,4.25,4.3333335,3.6666667,2.25,3.7777777,,,,,
71985,3.625,4.7777777,4.0,2.25,2.5999999,3.375,4.2222223,3.8888888,3.0,2.6666667,3.375,4.2222223,3.5555556,2.75,2.3333333,,,,,
43125,2.625,3.3333333,3.7777777,4.0,2.5999999,2.625,3.8888888,3.5555556,3.875,3.0,2.5,3.7777777,3.0,4.5,3.1111112,,,,,
98117,3.5,3.2222223,3.5555556,2.25,3.0,1.75,2.6666667,3.0,2.625,2.7777777,1.75,2.4444444,3.2222223,4.0,3.2222223,2.0,2.0,2.8888888,3.875,2.5555556
22989,3.5,3.5555556,3.4444444,2.0,2.4000001,,,,,,4.0,4.1111112,3.5555556,1.875,3.1111112,,,,,
24883,2.625,3.8888888,4.2222223,2.0,3.2,2.25,3.3333333,3.8888888,2.5,3.4444444,2.875,3.5555556,3.8888888,2.75,3.1111112,3.25,3.6666667,4.4444447,2.0,2.8888888
65068,,,,,,,,,,,,,,,,,,,,
20650,4.875,3.7777777,3.2222223,2.875,3.4000001,,,,,,4.5,4.3333335,3.1111112,3.0,3.7777777,4.125,3.7777777,3.2222223,2.75,4.1111112
19460,3.25,4.6666665,4.2222223,3.125,3.3,,,,,,,,,,,,,,,
66815,4.25,3.6666667,4.3333335,3.5,3.0,3.625,3.6666667,3.7777777,3.375,3.4444444,4.625,3.3333333,4.3333335,3.25,3.3333333,4.0,3.5555556,3.8888888,3.125,3.3333333
89161,4.375,3.5555556,4.1111112,2.125,3.0999999,3.875,3.7777777,4.0,3.0,3.1111112,,,,,,,,,,
54956,3.0,4.0,3.0,3.75,3.5,,,,,,3.125,3.8888888,3.1111112,3.75,3.6666667,,,,,
14847,2.375,2.8888888,3.5555556,3.625,3.5,2.375,3.0,3.6666667,3.5,3.7777777,2.375,2.8888888,3.3333333,4.25,4.5555553,1.875,2.8888888,3.0,3.875,4.1111112
85453,4.125,3.6666667,4.1111112,2.25,3.2,,,,,,4.5,4.2222223,4.4444447,2.375,4.7777777,,,,,
19827,3.125,3.1111112,3.4444444,4.0,2.8,,,,,,,,,,,,,,,
31121,4.125,4.1111112,4.3333335,2.25,3.0999999,,,,,,,,,,,,,,,
38683,2.5,2.6666667,3.5555556,3.25,2.2,2.25,2.6666667,3.5555556,3.625,2.0,,,,,,,,,,
82918,4.25,4.1111112,4.1111112,2.875,4.3000002,,,,,,,,,,,,,,,
43382,3.125,3.7777777,3.3333333,2.375,3.5,2.75,4.3333335,4.1111112,1.375,4.1111112,,,,,,,,,,
44344,2.5,2.8888888,4.3333335,4.0,3.2,,,,,,2.375,3.1111112,4.8888888,3.625,3.7777777,,,,,
94215,3.125,3.3333333,3.2222223,2.75,3.2,,,,,,2.375,3.8888888,4.0,2.75,3.1111112,2.25,3.7777777,3.8888888,2.75,3.2222223
80675,2.125,4.1111112,4.5555553,3.875,3.4000001,2.25,3.8888888,4.0,3.5,3.5555556,,,,,,,,,,
57144,2.5,3.8888888,3.6666667,3.25,3.3,,,,,,2.25,3.8888888,3.1111112,2.875,3.3333333,,,,,
94662,3.0,4.6666665,4.4444447,2.625,3.5,,,,,,3.75,4.5555553,4.4444447,1.875,3.7777777,,,,,
98700,4.0,3.5555556,4.7777777,3.75,2.5999999,3.5,4.0,4.7777777,3.25,3.0,4.0,4.0,4.8888888,3.25,3.0,4.0,4.1111112,4.8888888,3.125,2.6666667
44675,2.5,3.3333333,4.0,3.125,2.5,2.125,3.5555556,3.3333333,3.375,2.3333333,,,,,,,,,,
33341,2.75,3.6666667,3.5555556,3.25,3.4000001,2.75,3.5555556,3.8888888,3.75,3.8888888,,,,,,,,,,
37396,3.625,3.5555556,2.7777777,3.625,2.9000001,,,,,,,,,,,,,,,
65072,3.625,3.4444444,3.2222223,2.375,2.8,3.375,3.5555556,2.8888888,2.5,2.7777777,3.625,3.2222223,3.4444444,2.5,3.4444444,,,,,
37148,4.5,4.1111112,4.3333335,2.0,3.3,4.625,3.6666667,3.2222223,2.25,3.5555556,,,,,,,,,,
11910,2.5,4.7777777,4.0,2.75,2.4000001,3.125,3.8888888,3.5555556,2.75,3.1111112,,,,,,,,,,
75438,2.75,3.3333333,3.6666667,3.125,2.5,3.125,3.6666667,3.1111112,3.5,2.5555556,,,,,,,,,,
99733,3.125,3.6666667,3.5555556,3.125,3.2,3.375,3.5555556,3.5555556,2.75,3.6666667,3.375,4.5555553,4.3333335,2.125,3.8888888,2.875,4.1111112,4.0,2.5,4.0
27407,3.25,3.6666667,3.1111112,3.125,3.3,3.0,3.4444444,3.3333333,3.375,3.2222223,3.5,3.6666667,3.5555556,2.75,3.1111112,3.25,3.8888888,3.6666667,2.875,3.4444444
14250,2.5,3.8888888,4.0,2.5,2.0999999,2.875,3.8888888,3.4444444,3.0,2.2222223,,,,,,,,,,
43794,3.5,3.8888888,3.4444444,3.5,2.8,3.25,3.2222223,2.8888888,3.375,3.0,3.5,3.4444444,3.5555556,3.25,2.8888888,3.25,3.2222223,3.3333333,4.0,1.8888888
73918,2.75,4.1111112,4.6666665,2.125,2.7,,,,,,,,,,,2.5,4.4444447,4.5555553,2.875,4.6666665
60216,2.125,3.5555556,3.8888888,2.625,2.4000001,2.25,3.7777777,4.1111112,2.875,2.4444444,,,,,,,,,,
28681,4.125,4.7777777,4.3333335,2.625,3.2,,,,,,,,,,,,,,,
51437,3.375,3.5555556,3.2222223,2.5,3.0,3.25,3.5555556,3.0,2.625,3.2222223,3.125,3.5555556,3.5555556,2.375,2.8888888,3.375,3.8888888,3.6666667,2.25,3.6666667
21932,2.625,2.7777777,4.1111112,1.875,3.0,3.125,3.1111112,4.5555553,1.75,2.7777777,3.25,3.7777777,4.2222223,1.375,3.1111112,2.875,3.6666667,4.6666665,1.0,4.1111112
29733,4.625,4.4444447,3.8888888,3.375,3.4000001,4.0,4.1111112,3.3333333,3.25,4.2222223,3.875,4.4444447,3.6666667,2.375,3.7777777,,,,,
98206,3.125,2.8888888,4.8888888,3.0,2.9000001,,,,,,3.25,3.5555556,4.6666665,2.125,3.6666667,,,,,
36385,2.25,3.6666667,3.3333333,2.875,3.2,2.875,4.2222223,3.7777777,3.25,3.4444444,3.0,3.2222223,3.1111112,3.375,3.2222223,,,,,
26651,3.75,2.6666667,4.1111112,3.25,2.5999999,,,,,,,,,,,,,,,
54030,4.0,4.4444447,3.5555556,2.125,4.0999999,3.875,4.4444447,3.0,2.875,4.6666665,4.0,4.5555553,4.0,1.875,4.6666665,,,,,
67993,4.0,4.2222223,3.7777777,3.625,3.2,3.375,4.4444447,3.5555556,3.625,3.8888888,3.5,4.25,4.0,3.75,4.0,,,,,
96543,4.5,4.1111112,3.5555556,2.625,3.0,4.625,3.7777777,4.0,2.875,3.8888888,,,,,,,,,,
49800,3.5,4.4444447,3.1111112,3.375,3.3,,,,,,3.25,3.7777777,3.0,3.75,3.2222223,3.125,4.3333335,3.2222223,3.5,3.7777777
29296,1.875,4.2222223,3.3333333,3.125,2.4000001,,,,,,2.5,4.1111112,2.8888888,3.75,2.7777777,,,,,
11002,3.125,5.0,4.5555553,1.375,3.2,3.625,4.6666665,4.3333335,1.375,3.5555556,3.375,4.5555553,4.0,1.75,2.3333333,,,,,
72850,3.875,3.7777777,4.4444447,3.5,2.5,,,,,,4.0,3.6666667,4.0,3.5,3.0,,,,,
15134,3.75,4.0,4.4444447,2.125,2.5,4.125,3.4444444,4.1111112,2.375,2.8888888,4.0,3.6666667,3.8888888,1.75,2.8888888,,,,,
69124,2.625,3.5555556,3.2222223,2.125,2.5999999,,,,,,,,,,,,,,,
42531,2.625,2.8888888,4.4444447,3.375,3.5,,,,,,,,,,,,,,,
34062,3.25,3.5555556,4.8888888,3.875,3.5999999,3.125,3.7777777,4.8888888,3.375,3.8888888,3.375,3.8888888,4.8888888,3.25,4.1111112,3.625,4.1111112,4.6666665,3.125,4.1111112
18111,3.0,3.5555556,4.0,3.625,2.5,3.5,3.5555556,3.5555556,3.125,2.3333333,2.75,3.7777777,4.0,4.0,3.1111112,,,,,
42646,3.625,3.5555556,4.2222223,3.875,2.9000001,,,,,,3.75,3.3333333,4.3333335,2.875,3.1111112,3.875,3.7777777,3.8888888,2.75,3.2222223
63922,4.25,5.0,4.7777777,1.625,2.5999999,4.625,4.6666665,4.2222223,1.875,3.5555556,,,,,,,,,,
59097,3.625,2.6666667,4.1111112,2.375,3.0999999,4.0,3.4444444,3.7777777,3.625,3.1111112,,,,,,,,,,
72912,4.75,3.6666667,4.5555553,2.0,3.0,5.0,3.5555556,4.2222223,2.375,3.4444444,4.5,3.6666667,4.1111112,2.5,3.4444444,,,,,
91484,3.25,3.6666667,3.5555556,2.75,2.7,3.375,3.5555556,2.7777777,3.375,2.8888888,,,,,,,,,,
24833,3.0,3.5555556,2.3333333,2.375,2.2,3.0,3.7777777,3.0,2.25,3.1111112,,,,,,,,,,
