egoid,gender_1,momdec_1,momusa_1,daddec_1,dadusa_1,parentstatus_1,dadage_1,momage_1,numsib_1,birthorder_1,parentincome_1,parenteduc_1,momrace_1,dadrace_1,momrelig_1,dadrelig_1,yourelig_1
28653,Male,0.0,0.0,0.0,0.0,Living together,60.0,56.0,2.0,third born,"$150,000 - $199,999",both parent college,White,White,Other Religion,Other Religion,Other Religion
84715,Female,0.0,0.0,0.0,0.0,Living together,47.0,45.0,3.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Other Religion,Catholic
95559,Male,0.0,1.0,0.0,0.0,Living together,49.0,49.0,6.0,first born,"$100,000 - $149,999",both parent college,Asian-American,Latino,Catholic,Catholic,Catholic
30152,Female,0.0,0.0,0.0,0.0,Living together,50.0,54.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
68764,Male,0.0,0.0,0.0,0.0,Living together,45.0,43.0,1.0,first born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,No Religion
60367,Male,0.0,1.0,0.0,0.0,Living together,58.0,56.0,1.0,second born,"$100,000 - $149,999",both parent college,Black,Black,Protestant,Protestant,Protestant
36939,Male,0.0,0.0,0.0,0.0,Living together,49.0,46.0,1.0,first born,"$75,000 - $99,999",both parent college,White,White,Catholic,Protestant,Catholic
59592,Female,0.0,0.0,0.0,0.0,Divorced or living apart,51.0,47.0,1.0,first born,"$100,000 - $149,999",Both no college,White,White,Catholic,Catholic,Catholic
22897,Male,0.0,0.0,0.0,0.0,Living together,47.0,47.0,3.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,No Religion
89652,Female,0.0,0.0,0.0,0.0,Living together,49.0,47.0,1.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
28724,Female,0.0,0.0,0.0,0.0,Living together,46.0,46.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
92895,Female,0.0,0.0,0.0,1.0,Living together,53.0,53.0,4.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
69831,Male,0.0,1.0,0.0,1.0,Living together,48.0,49.0,2.0,third born,"$200,000 - $249,999",1 parent no college,Asian-American,Asian-American,Catholic,Catholic,Catholic
59178,Female,0.0,1.0,0.0,1.0,Living together,60.0,52.0,1.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
50072,Female,0.0,0.0,0.0,0.0,Living together,66.0,51.0,4.0,third born,"$50,000 - $74,999",both parent college,White,White,Catholic,Catholic,Catholic
44927,Female,0.0,1.0,0.0,1.0,Living together,48.0,48.0,2.0,first born,"$100,000 - $149,999",both parent college,Asian-American,Asian-American,Protestant,Protestant,Protestant
71894,Female,0.0,1.0,0.0,1.0,Living together,50.0,45.0,1.0,second born,"$25,000 - $49,999",both parent college,Asian-American,Asian-American,Protestant,Protestant,Protestant
76790,Female,0.0,0.0,0.0,0.0,Living together,45.0,46.0,5.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
78428,Female,0.0,1.0,0.0,0.0,Living together,53.0,52.0,2.0,second born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
66676,Female,0.0,0.0,0.0,0.0,Living together,53.0,49.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
95930,Female,0.0,0.0,0.0,0.0,Living together,45.0,45.0,3.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
70962,Female,0.0,0.0,0.0,0.0,Living together,48.0,48.0,2.0,second born,"$250,000 or more",both parent college,multiracial,White,Other Religion,Catholic,Catholic
12738,Male,0.0,0.0,0.0,0.0,Living together,43.0,50.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Other Religion
29647,Female,0.0,0.0,0.0,0.0,Living together,46.0,47.0,3.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
27111,Female,0.0,1.0,0.0,1.0,Living together,57.0,53.0,2.0,third born,"$75,000 - $99,999",Both no college,Asian-American,Asian-American,Protestant,Protestant,Protestant
30453,Female,0.0,1.0,0.0,1.0,Divorced or living apart,59.0,49.0,2.0,second born,"$25,000 - $49,999",both parent college,Black,Black,Other Religion,Other Religion,Other Religion
58219,Female,0.0,0.0,0.0,0.0,Living together,64.0,60.0,1.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Protestant,Catholic
28377,Male,0.0,1.0,0.0,1.0,Living together,50.0,50.0,1.0,second born,"$150,000 - $199,999",both parent college,Asian-American,Asian-American,Protestant,Protestant,Protestant
80177,Male,0.0,0.0,0.0,0.0,Living together,47.0,46.0,1.0,first born,"$250,000 or more",both parent college,White,multiracial,Catholic,Catholic,Catholic
18677,Female,0.0,0.0,0.0,0.0,Living together,48.0,48.0,3.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
66047,Female,0.0,1.0,0.0,1.0,Living together,58.0,47.0,2.0,second born,"$25,000 - $49,999",Both no college,Latino,Latino,Catholic,Catholic,Catholic
58682,Female,0.0,0.0,0.0,0.0,Living together,50.0,52.0,3.0,third born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
81199,Female,0.0,0.0,0.0,0.0,Living together,51.0,49.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,No Religion,No Religion
85679,Male,0.0,0.0,0.0,0.0,Living together,53.0,53.0,2.0,third born,"$50,000 - $74,999",both parent college,White,White,Catholic,Catholic,Catholic
79834,Male,0.0,0.0,0.0,0.0,Living together,49.0,47.0,1.0,first born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
93471,Female,0.0,0.0,0.0,0.0,Living together,57.0,55.0,2.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
19538,Female,0.0,0.0,0.0,0.0,Divorced or living apart,46.0,45.0,3.0,first born,"$250,000 or more",both parent college,White,White,Catholic,No Religion,Catholic
14595,Male,0.0,0.0,0.0,1.0,Living together,46.0,47.0,1.0,first born,"$50,000 - $74,999",Both no college,Latino,Latino,Catholic,Catholic,No Religion
38052,Male,0.0,0.0,0.0,0.0,Living together,53.0,52.0,2.0,second born,"$250,000 or more",both parent college,Asian-American,White,Protestant,Protestant,Protestant
33133,Female,0.0,0.0,0.0,0.0,Living together,48.0,48.0,3.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
40021,Female,0.0,0.0,0.0,0.0,Living together,52.0,51.0,2.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
27141,Female,0.0,0.0,0.0,0.0,Living together,57.0,55.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
93858,Female,0.0,0.0,0.0,0.0,Living together,47.0,47.0,1.0,first born,"$250,000 or more",both parent college,White,Latino,Catholic,Catholic,Catholic
47810,Female,0.0,0.0,0.0,0.0,Living together,50.0,48.0,4.0,second born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
58196,Female,0.0,0.0,0.0,0.0,Living together,52.0,51.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
42773,Male,0.0,0.0,0.0,0.0,Divorced or living apart,75.0,53.0,6.0,third born,"$100,000 - $149,999",Both no college,White,White,Catholic,Catholic,Catholic
72152,Female,0.0,0.0,0.0,0.0,Living together,50.0,50.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
76663,Female,0.0,0.0,0.0,0.0,Living together,50.0,47.0,6.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
48224,Female,0.0,1.0,0.0,1.0,Living together,52.0,50.0,2.0,first born,"$250,000 or more",both parent college,Latino,Latino,Catholic,Catholic,Catholic
30137,Female,0.0,0.0,0.0,0.0,Living together,55.0,52.0,2.0,second born,"$100,000 - $149,999",both parent college,White,multiracial,Catholic,Catholic,Catholic
68318,Female,0.0,0.0,0.0,0.0,Living together,53.0,50.0,2.0,second born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
62246,Male,0.0,0.0,0.0,0.0,Living together,52.0,48.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
69496,Female,0.0,0.0,0.0,0.0,Divorced or living apart,74.0,51.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Protestant,Catholic,Other Religion
61028,Female,0.0,0.0,0.0,0.0,Living together,54.0,54.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
55424,Female,0.0,0.0,0.0,0.0,Living together,49.0,48.0,4.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
17581,Female,0.0,0.0,0.0,0.0,Living together,51.0,49.0,2.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,No Religion,Catholic
23576,Male,0.0,0.0,0.0,0.0,Divorced or living apart,53.0,53.0,4.0,second born,"$200,000 - $249,999",both parent college,Asian-American,White,Catholic,Catholic,Catholic
57842,Female,0.0,0.0,0.0,0.0,Living together,52.0,51.0,2.0,second born,"$100,000 - $149,999",1 parent no college,White,White,Catholic,Catholic,Catholic
17522,Female,0.0,1.0,0.0,1.0,Living together,62.0,52.0,1.0,second born,"$50,000 - $74,999",Both no college,Black,Black,Protestant,Protestant,Protestant
55685,Female,0.0,0.0,0.0,0.0,Living together,51.0,52.0,5.0,fiifth born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
74079,Male,0.0,0.0,0.0,0.0,Living together,63.0,53.0,1.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
97833,Male,0.0,0.0,0.0,0.0,Living together,53.0,53.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
11992,Female,0.0,1.0,1.0,0.0,Living together,50.0,49.0,0.0,only child,"less than $25,000",Both no college,Asian-American,Asian-American,Other Religion,Other Religion,No Religion
93485,Male,0.0,0.0,0.0,0.0,Living together,52.0,49.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
34402,Male,0.0,0.0,0.0,0.0,Living together,56.0,55.0,1.0,second born,"$250,000 or more",1 parent no college,White,White,Catholic,Other Religion,Catholic
62617,Female,0.0,0.0,0.0,0.0,Living together,52.0,50.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
42137,Female,0.0,0.0,0.0,0.0,Living together,50.0,52.0,5.0,third born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
37305,Female,0.0,0.0,0.0,0.0,Living together,59.0,57.0,2.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Other Religion,Catholic
48013,Female,0.0,0.0,0.0,0.0,Living together,60.0,56.0,2.0,third born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,No Religion
44447,Female,0.0,0.0,0.0,0.0,Living together,50.0,47.0,2.0,second born,"$150,000 - $199,999",both parent college,White,multiracial,Catholic,Protestant,Catholic
14571,Male,0.0,1.0,0.0,1.0,Living together,54.0,54.0,1.0,second born,"$50,000 - $74,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
69057,Male,0.0,0.0,0.0,0.0,Living together,48.0,47.0,3.0,first born,"$150,000 - $199,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
49125,Female,0.0,0.0,0.0,0.0,Living together,52.0,52.0,3.0,third born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,No Religion
66629,Female,0.0,0.0,0.0,0.0,Living together,52.0,51.0,5.0,first born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
83542,Female,0.0,0.0,0.0,0.0,Living together,46.0,47.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
18222,Male,0.0,1.0,0.0,1.0,Living together,60.0,42.0,2.0,first born,"less than $25,000",both parent college,Black,Black,Protestant,Other Religion,No Religion
39738,Female,0.0,1.0,0.0,0.0,Divorced or living apart,49.0,40.0,5.0,second born,"less than $25,000",Both no college,Latino,Black,Other Religion,Other Religion,Other Religion
26858,Female,0.0,0.0,0.0,0.0,Living together,48.0,47.0,1.0,second born,"$250,000 or more",both parent college,Asian-American,multiracial,Catholic,No Religion,Catholic
70552,Female,0.0,0.0,0.0,0.0,Living together,45.0,44.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Other Religion,Other Religion,No Religion
38826,Female,0.0,0.0,0.0,0.0,Living together,55.0,51.0,1.0,second born,"$100,000 - $149,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
93504,Female,0.0,1.0,0.0,1.0,Living together,56.0,52.0,1.0,second born,"$100,000 - $149,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
64232,Female,0.0,0.0,0.0,0.0,Living together,55.0,55.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
37404,Female,0.0,1.0,0.0,1.0,Living together,50.0,47.0,2.0,second born,"$250,000 or more",both parent college,Black,Black,Protestant,Protestant,Protestant
25961,Female,0.0,1.0,0.0,1.0,Living together,49.0,47.0,2.0,first born,"$50,000 - $74,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
87330,Female,0.0,0.0,0.0,0.0,Living together,49.0,51.0,3.0,second born,"$250,000 or more",both parent college,White,multiracial,Catholic,Catholic,Catholic
92028,Female,0.0,1.0,0.0,0.0,Living together,56.0,51.0,2.0,third born,"$100,000 - $149,999",1 parent no college,Latino,White,Catholic,Catholic,Catholic
82248,Female,0.0,0.0,0.0,0.0,Living together,49.0,45.0,1.0,first born,"$100,000 - $149,999",both parent college,multiracial,Latino,Catholic,Catholic,Catholic
28824,Female,0.0,1.0,0.0,1.0,Divorced or living apart,52.0,51.0,2.0,first born,"less than $25,000",Both no college,Latino,Latino,Catholic,Catholic,Catholic
11482,Female,0.0,1.0,0.0,1.0,Divorced or living apart,50.0,52.0,1.0,first born,"less than $25,000",Both no college,Latino,Latino,Catholic,Catholic,Catholic
69936,Male,0.0,0.0,0.0,0.0,Living together,51.0,57.0,1.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Protestant,Catholic
91320,Male,0.0,1.0,0.0,1.0,Divorced or living apart,48.0,41.0,2.0,first born,"$25,000 - $49,999",1 parent no college,Latino,Black,Other Religion,Other Religion,Other Religion
37001,Female,0.0,0.0,0.0,0.0,Living together,53.0,51.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
70492,Male,0.0,0.0,0.0,0.0,Living together,50.0,49.0,1.0,first born,"$100,000 - $149,999",both parent college,multiracial,multiracial,Catholic,Catholic,Catholic
95543,Male,0.0,0.0,0.0,0.0,Living together,50.0,46.0,5.0,fourth born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
21380,Male,0.0,0.0,0.0,0.0,Divorced or living apart,57.0,51.0,4.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Protestant,Catholic
67106,Male,0.0,0.0,0.0,0.0,Living together,43.0,42.0,4.0,first born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
25495,Male,0.0,0.0,0.0,0.0,Living together,50.0,50.0,4.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
26581,Female,0.0,1.0,0.0,0.0,Living together,51.0,52.0,1.0,second born,"$100,000 - $149,999",both parent college,Asian-American,White,Other Religion,Catholic,No Religion
66642,Male,0.0,0.0,0.0,0.0,Living together,52.0,51.0,1.0,first born,"$150,000 - $199,999",Both no college,White,White,Catholic,Catholic,No Religion
83612,Female,0.0,0.0,0.0,0.0,Living together,52.0,45.0,3.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
63954,Female,0.0,1.0,0.0,1.0,Living together,48.0,44.0,0.0,only child,"$100,000 - $149,999",both parent college,Asian-American,Asian-American,No Religion,No Religion,No Religion
20665,Male,0.0,0.0,0.0,0.0,Living together,45.0,45.0,1.0,first born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
19122,Male,0.0,0.0,0.0,0.0,Living together,41.0,44.0,8.0,second born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
99978,Male,0.0,0.0,0.0,0.0,Living together,42.0,42.0,6.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
92566,Male,0.0,0.0,0.0,0.0,Living together,57.0,57.0,2.0,first born,"$25,000 - $49,999",Both no college,White,White,Catholic,Catholic,Catholic
39414,Female,0.0,1.0,0.0,1.0,Divorced or living apart,54.0,56.0,8.0,"sixth born of later, the youngest","less than $25,000",Both no college,Latino,Latino,Catholic,Catholic,Catholic
35987,Male,0.0,0.0,0.0,0.0,Living together,57.0,56.0,1.0,second born,"$50,000 - $74,999",1 parent no college,White,White,Catholic,Catholic,Catholic
66655,Female,0.0,0.0,0.0,0.0,Living together,53.0,52.0,2.0,second born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
10547,Male,0.0,0.0,0.0,0.0,Divorced or living apart,60.0,55.0,2.0,only child,"$75,000 - $99,999",both parent college,White,White,Catholic,No Religion,Catholic
46373,Male,0.0,0.0,0.0,0.0,Living together,54.0,50.0,2.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
79341,Male,0.0,0.0,0.0,0.0,Divorced or living apart,50.0,52.0,2.0,second born,"less than $25,000",1 parent no college,White,multiracial,Catholic,No Religion,Catholic
19591,Female,0.0,1.0,0.0,1.0,Living together,52.0,50.0,1.0,second born,"$200,000 - $249,999",1 parent no college,White,White,Protestant,No Religion,Protestant
83536,Female,0.0,1.0,0.0,1.0,Divorced or living apart,52.0,51.0,1.0,second born,"$250,000 or more",1 parent no college,White,Latino,Catholic,Catholic,Catholic
66682,Male,0.0,0.0,0.0,0.0,Living together,49.0,45.0,2.0,first born,"$50,000 - $74,999",both parent college,White,White,Protestant,Protestant,Protestant
88337,Male,0.0,0.0,0.0,0.0,Living together,53.0,49.0,3.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
67608,Male,0.0,0.0,0.0,0.0,Living together,46.0,46.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
19735,Male,0.0,0.0,0.0,0.0,Living together,52.0,51.0,3.0,second born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,No Religion
42513,Male,0.0,0.0,0.0,0.0,Living together,59.0,55.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
64595,Male,0.0,0.0,0.0,0.0,Living together,50.0,52.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
85134,Female,0.0,0.0,0.0,0.0,Living together,58.0,53.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
51952,Male,0.0,0.0,0.0,0.0,Living together,60.0,56.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
28837,Male,0.0,0.0,0.0,0.0,Living together,46.0,48.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
46266,Female,0.0,0.0,0.0,0.0,Living together,43.0,46.0,2.0,first born,"$50,000 - $74,999",both parent college,White,White,Other Religion,Other Religion,Other Religion
61289,Male,0.0,1.0,0.0,1.0,Divorced or living apart,54.0,47.0,2.0,second born,"less than $25,000",1 parent no college,Latino,Latino,Catholic,Catholic,Catholic
18743,Male,0.0,0.0,0.0,0.0,Living together,50.0,50.0,4.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
13647,Male,0.0,0.0,0.0,0.0,Living together,50.0,51.0,3.0,first born,"$250,000 or more",both parent college,White,White,Protestant,Catholic,Other Religion
59207,Male,0.0,0.0,0.0,0.0,Living together,49.0,49.0,2.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
48946,Male,0.0,0.0,0.0,0.0,Living together,62.0,59.0,2.0,second born,"$50,000 - $74,999",Both no college,White,White,Catholic,Catholic,Catholic
86083,Male,0.0,0.0,0.0,0.0,Living together,45.0,46.0,6.0,third born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
96613,Male,0.0,0.0,0.0,0.0,Living together,58.0,51.0,1.0,first born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
49014,Female,0.0,1.0,0.0,1.0,Living together,53.0,53.0,1.0,second born,"$25,000 - $49,999",1 parent no college,Asian-American,Asian-American,Protestant,Protestant,Protestant
50766,Male,0.0,0.0,0.0,0.0,Living together,50.0,50.0,3.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,No Religion
71089,Male,0.0,0.0,0.0,0.0,Living together,51.0,46.0,3.0,third born,"$50,000 - $74,999",1 parent no college,White,White,Protestant,Protestant,Protestant
80980,Male,0.0,0.0,0.0,0.0,Living together,58.0,57.0,2.0,third born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
29115,Male,0.0,0.0,0.0,0.0,Living together,56.0,53.0,2.0,second born,"$75,000 - $99,999",both parent college,White,White,No Religion,No Religion,No Religion
98462,Male,0.0,0.0,0.0,0.0,Living together,49.0,50.0,1.0,first born,"$150,000 - $199,999",1 parent no college,White,White,Catholic,Catholic,Catholic
94455,Male,0.0,1.0,0.0,1.0,Living together,45.0,45.0,3.0,second born,"$25,000 - $49,999",Both no college,Latino,Latino,Catholic,Catholic,Catholic
11148,Male,0.0,0.0,0.0,0.0,Living together,51.0,52.0,6.0,"sixth born of later, the youngest","$50,000 - $74,999",Both no college,White,White,Protestant,Protestant,Protestant
88384,Female,0.0,1.0,0.0,1.0,Living together,48.0,41.0,1.0,first born,"$50,000 - $74,999",Both no college,Latino,Latino,Catholic,Catholic,Catholic
60904,Female,0.0,0.0,0.0,0.0,Living together,55.0,54.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
64302,Male,0.0,0.0,0.0,0.0,Living together,51.0,48.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
51882,Female,0.0,0.0,0.0,0.0,Divorced or living apart,52.0,52.0,3.0,fourth born,"$25,000 - $49,999",Both no college,White,multiracial,No Religion,No Religion,No Religion
54200,Male,0.0,0.0,0.0,0.0,Living together,49.0,48.0,4.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
22688,Male,0.0,0.0,0.0,0.0,Living together,49.0,49.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
38815,Male,0.0,0.0,0.0,0.0,Living together,50.0,48.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
34525,Male,0.0,0.0,0.0,0.0,Living together,45.0,44.0,5.0,second born,"$50,000 - $74,999",both parent college,White,Asian-American,Catholic,Catholic,Catholic
68404,Female,0.0,0.0,0.0,0.0,Living together,50.0,50.0,2.0,second born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
71836,Male,0.0,0.0,0.0,0.0,Living together,50.0,47.0,2.0,first born,"$100,000 - $149,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
12748,Female,0.0,1.0,0.0,1.0,Divorced or living apart,51.0,47.0,1.0,second born,"$25,000 - $49,999",1 parent no college,Black,Black,Catholic,Catholic,Catholic
33445,Female,0.0,0.0,0.0,0.0,Living together,51.0,50.0,1.0,second born,"$250,000 or more",1 parent no college,White,White,Catholic,Catholic,Catholic
83078,Male,0.0,0.0,0.0,0.0,Living together,55.0,42.0,3.0,second born,"less than $25,000",both parent college,White,White,Catholic,Catholic,Catholic
72160,Male,0.0,0.0,0.0,0.0,Divorced or living apart,49.0,48.0,2.0,first born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
55569,Female,0.0,1.0,0.0,1.0,Divorced or living apart,54.0,50.0,1.0,first born,"$75,000 - $99,999",1 parent no college,Latino,Latino,Catholic,Catholic,Catholic
72885,Male,0.0,1.0,0.0,0.0,Living together,54.0,48.0,1.0,second born,"$50,000 - $74,999",Both no college,Asian-American,White,Catholic,Catholic,No Religion
47006,Female,0.0,0.0,0.0,0.0,Living together,51.0,50.0,0.0,only child,"$75,000 - $99,999",1 parent no college,White,White,Catholic,Catholic,Catholic
36574,Male,0.0,0.0,0.0,0.0,Living together,58.0,57.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
71193,Male,0.0,1.0,0.0,0.0,Living together,59.0,51.0,1.0,second born,"$50,000 - $74,999",1 parent no college,Latino,Latino,Catholic,Catholic,Catholic
44070,Female,0.0,1.0,0.0,1.0,Divorced or living apart,47.0,46.0,0.0,only child,"$75,000 - $99,999",both parent college,Asian-American,Asian-American,No Religion,No Religion,No Religion
49010,Male,0.0,0.0,0.0,0.0,Living together,48.0,46.0,3.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
98760,Male,0.0,0.0,0.0,0.0,Living together,57.0,54.0,4.0,fourth born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
95374,Male,0.0,0.0,0.0,0.0,Living together,53.0,53.0,1.0,first born,"$50,000 - $74,999",1 parent no college,White,White,Catholic,Catholic,Catholic
71985,Male,0.0,0.0,0.0,0.0,Living together,49.0,49.0,0.0,only child,"$100,000 - $149,999",both parent college,multiracial,Latino,Catholic,Catholic,Catholic
43125,Male,0.0,0.0,0.0,0.0,Living together,50.0,49.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
98117,Male,0.0,1.0,0.0,1.0,Living together,40.0,41.0,2.0,first born,"less than $25,000",Both no college,Latino,Latino,Catholic,Catholic,No Religion
22989,Male,0.0,0.0,0.0,0.0,Living together,50.0,47.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
24883,Male,0.0,0.0,0.0,0.0,Living together,57.0,56.0,4.0,fiifth born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
20650,Male,0.0,0.0,0.0,0.0,Living together,53.0,55.0,1.0,second born,"$250,000 or more",both parent college,White,multiracial,Catholic,Other Religion,Catholic
19460,Male,0.0,0.0,0.0,1.0,Living together,51.0,53.0,1.0,first born,"$75,000 - $99,999",1 parent no college,Latino,Latino,Catholic,Catholic,Protestant
66815,Male,0.0,0.0,0.0,0.0,Living together,51.0,52.0,2.0,second born,"$50,000 - $74,999",both parent college,White,White,Catholic,Catholic,Catholic
89161,Female,0.0,1.0,0.0,1.0,Living together,50.0,51.0,3.0,second born,"$100,000 - $149,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
54956,Female,0.0,0.0,0.0,0.0,Living together,52.0,53.0,3.0,third born,"$250,000 or more",both parent college,White,White,Protestant,Protestant,Protestant
14847,Female,0.0,1.0,0.0,0.0,Divorced or living apart,45.0,39.0,3.0,first born,"less than $25,000",Both no college,Latino,Latino,Catholic,Catholic,No Religion
85453,Male,0.0,0.0,1.0,0.0,Living together,50.0,49.0,5.0,second born,"$50,000 - $74,999",both parent college,White,White,Catholic,Catholic,Catholic
19827,Male,0.0,0.0,0.0,0.0,Living together,54.0,54.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
31121,Male,0.0,1.0,0.0,1.0,Living together,55.0,55.0,2.0,third born,"$250,000 or more",1 parent no college,Asian-American,Asian-American,Catholic,Catholic,Catholic
38683,Male,0.0,0.0,0.0,0.0,Living together,49.0,48.0,5.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
