egoid,hs_1,hssex_1,hsgrade_1,apexams_1,degreeintent_1,hrswork_1,ndfirst_1,majorevent_1,hsclubrc_1
68318,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
62246,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
69496,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,None,No,yes,1
61028,Public magnet school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
55424,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,1
17581,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
23576,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
57842,Private religious/parochial school,Same sex- female,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
17522,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
55685,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
74079,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
97833,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
11992,Public school,Same sex- female,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
93485,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
34402,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
62617,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
42137,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
37305,Public school,A mixture of boys and girls,A-,1-2,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,yes,1
48013,Private religious/parochial school,Same sex- female,A-,1-2,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
44447,Private religious/parochial school,Same sex- female,A or A+,5 or more,J.D. (Law),0-4,Yes,no,1
14571,Private religious/parochial school,A mixture of boys and girls,B-,5 or more,Ph.D or Ed.D.,None,No,no,1
69057,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
49125,Public school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
66629,Private independent college-prep school,Same sex- female,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
83542,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
18222,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
39738,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),11-15,Yes,no,1
26858,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
70552,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
38826,Private religious/parochial school,Same sex- female,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
93504,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
64232,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
37404,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
25961,Public school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",11-15,No,yes,1
87330,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
92028,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,11-15,No,yes,0
82248,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
28824,Public charter school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
11482,Public charter school,A mixture of boys and girls,B+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,No,no,1
69936,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
91320,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
37001,Private religious/parochial school,Same sex- female,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
70492,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,yes,1
95543,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
21380,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
67106,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,no,1
25495,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
26581,Private independent college-prep school,A mixture of boys and girls,A-,1-2,J.D. (Law),None,Yes,yes,1
66642,Private religious/parochial school,Same sex- male,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
83612,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
63954,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,0
20665,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
19122,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
99978,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,yes,1
92566,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,Yes,no,1
39414,Public charter school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
35987,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
66655,Private religious/parochial school,Same sex- female,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
10547,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
46373,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
79341,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,no,1
19591,Public school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
83536,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
66682,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,11-15,No,no,1
88337,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,Yes,no,1
67608,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
19735,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
42513,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,No,no,1
64595,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
85134,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
51952,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
28837,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,11-15,Yes,no,1
46266,Public school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
61289,Public school,Same sex- male,A-,5 or more,J.D. (Law),11-15,Yes,no,1
18743,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
13647,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
59207,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
48946,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,None,Yes,yes,1
86083,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
96613,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
49014,Public charter school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
50766,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
71089,Public school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
80980,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,yes,1
29115,Public school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,No,yes,1
98462,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
94455,Public school,A mixture of boys and girls,A-,3-4,Ph.D or Ed.D.,0-4,Yes,no,1
11148,Public school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,None,Yes,yes,1
88384,Public school,A mixture of boys and girls,B+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,yes,1
60904,Private independent college-prep school,Same sex- female,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
64302,Private religious/parochial school,Same sex- male,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
51882,Private religious/parochial school,A mixture of boys and girls,B+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
54200,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
22688,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,yes,1
38815,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
34525,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
68404,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
71836,Private religious/parochial school,Same sex- male,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
12748,Public school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,yes,1
33445,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
83078,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,yes,1
72160,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,no,1
55569,Private independent college-prep school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
72885,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
47006,Public school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
36574,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,Yes,yes,1
71193,Public school,A mixture of boys and girls,B+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,No,no,1
44070,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
49010,Private religious/parochial school,Same sex- male,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
98760,Private religious/parochial school,Same sex- male,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
95374,Public school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),None,Yes,no,1
71985,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
43125,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
98117,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
22989,Private independent college-prep school,Same sex- male,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
24883,Public school,A mixture of boys and girls,b,5 or more,"M.D., D.O., D.D.S., or D.V.M.",11-15,No,no,1
20650,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
19460,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
66815,Private religious/parochial school,Same sex- male,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
89161,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
54956,Private independent college-prep school,Same sex- female,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
14847,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
85453,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
19827,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
31121,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
38683,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,no,1
82918,Private independent college-prep school,A mixture of boys and girls,A-,3-4,J.D. (Law),None,Yes,yes,1
43382,Private religious/parochial school,Same sex- male,A-,5 or more,Ph.D or Ed.D.,None,No,no,1
44344,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
94215,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
80675,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,Yes,no,1
57144,Private independent college-prep school,A mixture of boys and girls,B+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
94662,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
98700,Private independent college-prep school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
44675,Public charter school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",11-15,No,no,1
33341,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,no,1
37396,Private religious/parochial school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
65072,Private independent college-prep school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
37148,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
11910,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,no,1
75438,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
99733,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
27407,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,no,1
14250,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
43794,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,yes,1
73918,Home school,Not applicable,A or A+,Not offered at my high school,Ph.D or Ed.D.,0-4,Yes,no,1
60216,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",11-15,No,no,1
28681,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
51437,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,yes,1
21932,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
29733,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,11-15,Yes,no,1
98206,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
36385,Private independent college-prep school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
26651,Private religious/parochial school,Same sex- male,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,yes,1
54030,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
67993,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
96543,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
49800,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
29296,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
11002,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,None,No,no,1
72850,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
15134,Public school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",5-10,No,no,1
69124,Public charter school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
42531,Private religious/parochial school,Same sex- female,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
34062,Private religious/parochial school,A mixture of boys and girls,b,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
18111,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
42646,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
63922,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
59097,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
72912,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
91484,Private independent college-prep school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,None,No,no,1
24833,Private religious/parochial school,Same sex- female,A-,3-4,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
21971,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
58654,Private independent college-prep school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
13928,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
84502,Private religious/parochial school,Same sex- female,A-,5 or more,Ph.D or Ed.D.,None,Yes,no,1
64090,Private independent college-prep school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
52123,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
78783,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,no,1
25197,Private religious/parochial school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
35872,Public charter school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",21 or more,Yes,no,1
93462,Private religious/parochial school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
23270,Private religious/parochial school,Same sex- female,A or A+,1-2,"M.D., D.O., D.D.S., or D.V.M.",5-10,No,no,1
69807,Home school,Not applicable,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
92716,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,1
66061,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Ph.D or Ed.D.,None,Yes,no,1
56058,Public school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
57854,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
68679,Private religious/parochial school,Same sex- male,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
90750,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,J.D. (Law),None,Yes,no,1
70125,Private religious/parochial school,Same sex- female,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
67192,Public school,A mixture of boys and girls,A-,1-2,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
12029,Other- Please specify,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,0
70745,Private independent college-prep school,A mixture of boys and girls,B+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
43255,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
93856,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
10237,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
97448,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,no,1
43603,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
86974,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
89165,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
97280,Public school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),16-20,Yes,no,1
54098,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
66156,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
67177,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,1
22540,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
70668,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
15586,Public school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,0
27232,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
18611,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,No,yes,1
87328,Private religious/parochial school,Same sex- male,A or A+,5 or more,J.D. (Law),None,Yes,no,0
88963,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
61756,Private independent college-prep school,Same sex- male,B+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
57045,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
49497,Private religious/parochial school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
15031,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,yes,1
79607,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
41952,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
17183,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
22408,Private religious/parochial school,Same sex- male,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
54435,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
38554,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
38293,Private religious/parochial school,Same sex- female,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
33785,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
